Month,Total_Consumer_Price_Index,Food_Consumer_Price_Index,Non_Food_Consumer_Price_Index,Inflation_Annual,Total_Annual_Inflation_Rate,Food_Annual_Inflation_Rate,Non_Food_Annual_Inflation_Rate,,Total_Monthly_Inflation_Rate
1-Jan-11,111.6,108.9,114.8,6.3,4.2,8.6,0.7,1.1,0.2
1-Feb-11,112.4,109.4,115.8,6.5,4.3,9.1,0.7,0.5,0.9
1-Mar-11,113.6,110.5,117.1,6.6,4.1,9.4,1.1,1,1.1
1-Apr-11,114.2,111.1,117.8,6.3,3.7,9.2,0.6,0.6,0.6
1-May-11,114.6,111,118.7,6.3,3.5,9.5,0.3,-0.1,0.7
1-Jun-11,114.5,110.3,119.4,6.1,3.8,8.7,0,-0.6,0.6
1-Jul-11,115.9,111.9,120.5,6.9,5,8.9,1.2,1.5,0.9
1-Aug-11,116.6,112.1,121.8,6.5,5.8,7.3,0.6,0.1,1.1
1-Sep-11,117,112.5,122.2,6.5,6.1,7.3,0.4,0.3,0.4
1-Oct-11,116.8,112.2,122.1,6.7,6.3,7.2,-0.2,-0.2,-0.1
1-Nov-11,116.9,112.7,121.8,6.4,6,6.8,0.1,0.4,-0.2
1-Dec-11,117.5,113.4,122.2,6,5.3,6.6,0.5,0.6,0.3
1-Jan-12,118.77,115.48,122.54,6.4,6.1,6.8,1.1,1.8,0.3
1-Feb-12,119.09,115.41,123.33,6,5.5,6.5,0.3,-0.1,0.6
1-Mar-12,120.84,117.59,124.56,6.4,6.4,6.4,1.5,1.9,1
1-Apr-12,121.63,118.22,125.54,6.5,6.4,6.5,0.7,0.5,0.8
1-May-12,122.11,118.56,126.2,6.6,6.8,6.3,0.4,0.3,0.5
1-Jun-12,122.16,118.11,126.82,6.7,7.1,6.2,0,-0.4,0.5
1-Jul-12,123.06,119,127.73,6.2,6.3,6,0.7,0.8,0.7
1-Aug-12,124.11,120.3,128.5,6.4,7.3,5.5,0.9,1.1,0.6
1-Sep-12,124.72,120.95,129.05,6.6,7.5,5.6,0.5,0.5,0.4
1-Oct-12,124.8,121.4,128.7,6.8,8.2,5.4,0.1,0.4,-0.3
1-Nov-12,125.04,121.7,128.88,6.9,8,5.8,0.2,0.2,0.1
1-Dec-12,126.08,122.96,129.67,7.3,8.4,6.1,0.8,1,0.6
1-Jan-13,127.08,124.27,130.28,7,7.6,6.3,0.8,1.1,0.5
1-Feb-13,127.32,123.13,132.13,6.9,6.7,7.1,0.2,-0.9,1.4
1-Mar-13,128.81,124.66,133.59,6.6,6,7.2,1.2,1.2,1.1
1-Apr-13,129.57,125.48,134.26,6.5,6.1,6.9,0.6,0.7,0.5
1-May-13,130.67,125.99,136.06,7,6.3,7.8,0.9,0.4,1.3
1-Jun-13,131.13,126.45,136.51,7.3,7.1,7.6,0.4,0.4,0.3
1-Jul-13,131.99,127.48,137.18,7.3,7.1,7.4,0.7,0.8,0.5
1-Aug-13,132.87,128.51,137.88,7.1,6.8,7.3,0.7,0.8,0.5
1-Sep-13,133.41,128.87,138.64,7,6.5,7.4,0.4,0.3,0.5
1-Oct-13,133.4,128.54,138.98,6.888701923,5.881054366,7.98951049,-0.00966944,-0.256382401,0.247042701
1-Nov-13,133.82,128.99,139.38,7,6,8.1,0.3,0.3,0.3
1-Dec-13,135.08,130.57,140.28,7.1,6.2,8.2,0.9,1.2,0.6
1-Jan-14,136.32,131.6,141.74,7.3,5.9,8.8,0.9,0.8,1
1-Feb-14,136.96,132.36,142.24,7.6,7.5,7.7,0.5,0.6,0.4
1-Mar-14,138.67,134.09,143.95,7.7,7.6,7.8,1.3,1.3,1.2
1-Apr-14,139.61,134.99,144.92,7.8,7.6,7.9,0.7,0.7,0.7
1-May-14,140.85,136.02,146.41,7.8,8,7.6,0.9,0.8,1
1-Jun-14,141.48,136.32,147.41,7.9,7.8,8,0.4,0.2,0.7
1-Jul-14,142.52,136.22,149.85,8,6.9,9.2,0.8,-0.1,1.6
1-Aug-14,143.52,137.5,150.44,8,7,9.1,0.7,0.9,0.4
1-Sep-14,143.87,137.75,150.91,7.8,6.9,8.8,0.2,0.2,0.3
1-Oct-14,144,137.71,151.22,7.9,7.1,8.8,0.1,0,0.2
1-Nov-14,144.63,138.45,151.73,8.1,7.3,8.9,0.4,0.5,0.3
1-Dec-14,145.7,140.3,151.92,7.9,7.5,8.4,0.8,1.3,0.2
1-Jan-15,146.76,141.28,153.07,7.7,7.4,8,0.7,0.7,0.7
1-Feb-15,147.13,142.39,152.58,7.4,7.6,7.3,0.3,0.8,-0.3
1-Mar-15,148.63,143.79,154.2,7.2,7.2,7.1,1,1,1.1
1-Apr-15,149.66,144.61,155.47,7.2,7.1,7.3,0.7,6,0.8
1-May-15,150.62,145.81,156.15,6.9,7.2,6.7,0.6,0.8,0.4
1-Jun-15,151.46,146.4,157.68,7.1,7.1,7,0.6,0.2,1
1-Jul-15,152.64,146.95,159.19,7.1,7.8,6.2,0.8,0.6,1
1-Aug-15,153.94,148.16,160.58,7.3,7.8,6.9,0.9,0.8,0.9
1-Sep-15,155,148.95,161.95,7.7,8.1,7.3,0.7,0.5,0.9
1-Oct-15,164.65,160.03,169.97,14.3,16.2,12.4,6.2,7.4,5
1-Nov-15,172.86,170.85,175.18,19.5,23.4,15.5,5,6.8,3.1
1-Dec-15,176.46,175.09,178.06,21.1,24.8,17.1,2.1,2.5,1.6
1-Jan-16,178.7,177.88,179.65,21.8,25.9,17.4,1.3,1.6,0.9
1-Feb-16,180.81,179.94,181.8,22.9,26.4,19.1,1.2,1.2,1.2
1-Mar-16,181.68,181.52,181.86,22.2,26.2,17.9,0.5,0.9,0
1-Apr-16,182.24,183.01,181.36,21.8,26.5,16.7,0.3,0.8,-0.3
1-May-16,182.68,183.39,181.8,21.3,25.8,16.5,0.2,0.2,0.3
1-Jun-16,183.31,183.03,183.63,21,25.3,16.5,0.3,-0.2,1
1-Jul-16,183.43,183.36,183.52,20.2,24.8,15.3,0.1,0.2,-0.1
1-Aug-16,184.07,183.87,184.87,19.6,24.1,14.8,0.4,0.3,0.4
1-Sep-16,184.22,183.85,183.64,18.9,23.4,14,0.1,0,0.2
1-Oct-16,185.16,185.01,185.33,12.5,15.6,9,0.5,0.6,0.4
1-Nov-16,188,186.58,189.64,8.8,9.2,8.3,1.5,0.8,2.3
1-Dec-16,189.64,188.68,190.75,7.5,7.8,7.1,0.9,1.1,0.6
1-Jan-17,191.28,190.96,191.64,7,7.4,6.7,0.9,1.2,0.5
1-Feb-17,193.12,193.28,192.94,6.8,7.4,6.1,1,1.2,0.7
1-Mar-17,193.78,193.74,193.83,6.7,6.7,6.6,0.3,0.2,0.5
1-Apr-17,194.48,194.09,194.93,6.7,6.1,7.5,0.4,0.2,0.6
1-May-17,194.62,194.22,195.09,6.5,5.9,7.3,0.1,0.1,0.1
1-Jun-17,195.82,193.61,198.37,6.8,5.8,8,0.6,-0.3,1.7
1-Jul-17,195.6,193.13,198.43,6.6,5.3,8.1,-0.1,-0.2,0
1-Aug-17,195.75,193.32,198.53,6.3,5.1,7.7,0.1,0.1,0.1
1-Sep-17,196.33,193.05,200.1,6.6,5,8.4,0.3,-0.1,0.8
1-Oct-17,197.1,194.07,200.59,6.4,4.9,8.2,0.4,0.5,0.2
1-Nov-17,199.84,195.62,201.69,6.3,4.8,7.9,1.4,0.8,2
1-Dec-17,201.18,197.77,205.11,6.1,4.8,7.5,0.7,1.1,0.2
1-Jan-18,203.15,199.69,207.13,6.2,4.6,8.1,1,1,1
1-Feb-18,204.91,202.14,208.09,6.1,4.6,7.9,0.9,1.2,0.5
1-Mar-18,207.62,204.9,210.75,7.1,5.8,8.7,1.3,1.4,1.3
1-Apr-18,208.93,206.8,211.38,7.4,6.5,8.4,1.3,1.4,1.3
1-May-18,209.08,207.61,212.39,7.8,6.9,8.9,0.4,0.4,0.5
1-Jun-18,210.35,208.21,212.81,7.4,7.5,7.3,0.2,0.3,0.2
1-Jul-18,210.92,208.76,213.41,7.8,8.1,7.6,0.3,0.3,0.3
1-Aug-18,211.52,209.39,213.97,8.1,8.3,7.8,0.3,0.3,0.3
1-Sep-18,211.93,209.57,214.64,7.9,8.6,7.3,0.2,0.1,0.3
1-Oct-18,213.42,210.1,217.25,8.3,8.3,8.3,0.7,0.3,1.2
1-Nov-18,215.37,212.13,219.09,7.8,8.4,7,0.9,1,0.8
1-Dec-18,216.99,213.76,220.7,7.9,8.1,7.6,0.8,0.8,0.7
2-Jan-19,219.27,216.03,222.99,7.9,8.2,7.7,1.1,1.1,1
3-Feb-19,220.87,217.7,224.53,7.8,7.7,7.9,0.7,0.8,0.7
7-Mar-19,223.29,221.74,225.06,7.5,8.2,6.8,1.1,1.9,0.2
8-Apr-19,224.92,224.03,225.94,7.7,8.3,6.9,0.7,1,0.4
10-May-19,226.84,226.47,227.25,8.1,9.1,7,0.9,1.1,0.6
11-Jun-19,228.54,227.37,229.83,8.6,9.2,8,0.7,0.4,1.2
13-Jul-19,229.56,228.26,231.07,8.8,9.3,8.3,0.9,0.4,0.5
14-Aug-19,231.27,230.95,231.63,9.3,10.3,8.3,0.7,1.2,0.2
15-Sep-19,234.08,235.59,232.35,10.5,12.4,8.3,1.2,2,0.3
16-Oct-19,236.28,238.09,234.2,10.7,13.3,7.8,0.9,1.1,0.8
16-Nov-19,238.64,240.77,236.2,10.8,13.5,7.8,1,1.1,0.9
16-Dec-19,242.42,246.35,237.91,11.7,15.2,7.8,1.6,2.3,0.7
16-Jan-20,246.72,249.2,243.87,12.5,15.4,9.4,1.8,1.2,2.5
16-Feb-20,251.51,252.41,250.48,13.9,15.9,11.6,1.9,1.3,2.7
16-Mar-20,254.62,255.51,253.6,14,15.2,12.7,1.2,1.2,1.2
16-Apr-20,260.25,262.2,258.01,15.7,17,14.2,2.2,2.6,1.7
16-May-20,264.38,266.01,262.51,16.6,17.5,15.5,1.6,1.5,1.7
16-Jun-20,264.94,264.47,265.47,15.9,16.3,15.5,0.2,-0.6,1.1
16-Jul-20,265.83,265.11,266.67,15.8,16.1,15.4,0.3,0.2,0.5
16-Aug-20,267.07,266.84,267.33,15.5,15.5,15.4,0.5,0.7,0.2
16-Sep-20,270.81,268.57,273.39,15.7,14,17.7,1.4,0.6,2.3
16-Oct-20,274.2,272.84,275.76,16,14.6,17.7,1.3,1.6,0.9
16-Nov-20,280.21,281.13,279.14,17.4,16.8,18.2,2.2,3,1.2
16-Dec-20,289.04,296.1,280.92,19.2,20.2,18.2,3.2,5.3,0.6
16-Jan-21,299.73,312.96,284.52,21.5,25.6,16.7,3.7,5.7,1.3
16-Feb-21,307.32,321.37,291.16,22.2,27.3,16.2,2.5,2.7,2.3
16-Mar-21,312.68,326.51,296.78,22.8,27.8,17,1.7,1.6,1.9
16-Apr-21,319.41,333.58,303.12,22.7,27.2,17.5,2.2,2.2,2.1
16-May-21,325.82,341.86,307.38,23.2,28.5,17.1,2,2.5,1.4
16-Jun-21,330.14,347.01,310.74,24.6,31.2,17.1,1.3,1.5,1.1
17-Jul-21,331.15,347.78,312.03,24.6,31.2,17,0.3,0.2,0.4
18-Aug-21,332.35,351.08,310.81,24.4,31.6,16.3,0.4,0.9,-0.4
19-Sep-21,330.73,348.15,310.7,22.1,29.6,13.6,-0.5,-0.8,0
20-Oct-21,332.11,349.42,312.2,21.1,28.1,13.2,0.4,0.4,0.5
20-Nov-21,344.2,352.51,131.14,19.3,25.4,12.2,0.6,0.9,0.3
20-Dec-21,336.31,355.02,314.79,16.4,19.9,12.1,0.6,0.7,0.5
20-Jan-22,344.9,366,320.64,15.1,16.9,12.7,2.6,3.1,1.9
20-Feb-22,350,372.91,325.59,14.2,16,11.8,1.7,1.9,1.5
20-Mar-22,353.61,376.38,327.44,13.1,15.3,10.3,0.8,0.9,0.6
20-Apr-22,356.02,380.51,327.85,11.5,14.1,8.2,0.7,1.1,0.1
20-May-22,359.04,383.95,330.4,10.2,12.3,7.5,0.8,0.9,0.8
20-Jun-22,362.32,388.44,332.28,9.7,11.9,6.9,0.9,1.2,0.6
20-Jul-22,363.91,389.46,334.54,9.9,12,7.2,0.4,0.3,0.7
20-Aug-22,364.87,390.93,334.92,9.8,11.3,7.8,0.3,0.4,0.1
20-Sep-22,363.59,390.22,332.95,9.9,12.1,7.2,-0.4,-0.2,-0.6
20-Oct-22,364.26,391.96,391.96,9.7,12.2,6.5,0.2,0.4,-0.2
20-Nov-22,366.79,395.31,334.01,9.8,12.1,6.7,0.7,0.9,0.5
20-Dec-22,369.6,397.37,337.37,9.9,11.9,7.3,1.1,0.5,1.1
20-Jan-23,377.25,408.33,341.52,9.4,11.6,6.4,2.1,2.8,1.1
1-Feb-23,384.6,416.33,348.11,9.6,11.6,6.9,1.9,2,1.9
3-Mar-23,388.61,420.96,351.4,9.9,11.8,7.3,1,1.1,0.9
4-Apr-23,392.22,424.62,354.97,10.2,11.6,8.3,0.9,0.9,1
5-May-23,394.54,428.34,355.67,9.9,11.6,7.6,0.6,0.9,0.2
6-Jun-23,397.71,432.13,358.12,9.8,11.2,7.8,0.8,0.9,0.7
6-Jul-23,401.25,436.57,360.64,10.3,12.1,7.8,0.9,1,0.7
6-Aug-23,404.45,440.45,363.37,10.8,12.6,8.5,0.8,0.8,0.8
7-Sep-23,407.12,442.33,366.64,12,13.4,10.1,0.7,0.5,0.9
8-Oct-23,410.22,445.22,369.97,12.6,13.6,11.3,0.8,0.7,0.9
9-Nov-23,413.99,449.29,373.41,12.9,13.7,11.8,0.9,0.9,0.9
10-Dec-23,418.03,453.93,376.75,13.1,14.2,11.6,1,1,0.9
11-Jan-24,426.93,464.47,383.76,13.2,13.7,12.4,2.1,2.3,1.9
12-Feb-24,436.49,475.04,392.17,13.5,14.1,12.7,2.2,2.3,2.2
15-Mar-24,442.01,486.01,390.82,13.7,15.6,11.2,1.2,2.4,-0.3
16-Apr-24,446.38,491.38,394.63,13.8,15.7,11.2,1,1,1
18-May-24,452.52,497.59,400.71,14.7,16.2,12.7,1.4,1.3,1.5
19-Jun-24,458.31,504.83,404.83,15.2,16.8,13,1.3,1.5,1
20-Jul-24,462.91,512.49,405.9,15.4,17.4,12.6,1,1.5,0.3
21-Aug-24,466.94,517.49,408.83,15.5,17.6,12.5,0.9,1,0.7
22-Sep-24,470.59,521.56,411.98,15.6,17.9,12.4,0.8,0.8,0.8
24-Oct-24,474.54,526.12,415.24,15.7,18.2,12.2,0.8,0.9,0.8
25-Nov-24,482.14,530.87,426.1,16.5,18.2,14.1,1.6,0.9,2.6
27-Dec-24,488.04,538.44,430.09,16.7,18.6,14.2,1.2,1.4,0.9
28-Jan-25,498.17,553.62,434.42,16.7,19.2,13.2,2.1,2.8,1
1-Mar-25,509.97,572.68,437.86,16.8,20.6,11.7,2.4,3.4,0.8
2-Apr-25,520.07,583.16,447.54,16.5,18.7,13.4,1,0.8,1.2
4-May-25,521.81,586.54,447.38,15.3,17.9,11.6,0.3,0.6,0
5-Jun-25,522.81,588.99,446.71,14.1,16.7,10.3,0.2,0.4,-0.2
6-Jul-25,523.29,591.04,445.39,13,15.3,9.7,0.1,0.3,-0.3
6-Aug-25,525.95,594.63,446.97,12.6,14.9,9.3,0.5,0.6,0.4
7-Sep-25,528.56,597.56,449.21,12.3,14.6,9,0.5,0.5,0.5
6-Oct-25,530.91,600.12,451.32,11.9,14.1,8.7,0.5,0.4,0.4
4-Nov-25,534.59,604.64,454.03,10.9,13.9,6.6,0.7,0.8,0.6
3-Dec-25,542.67,608.1,467.43,11.2,12.9,8.7,1.5,0.6,3
31-Jan-26,,,,9.4,,,,,
